Test node index	True parents	Predicted parents	macro_mr	micro_mr	hit_at_1	hit_at_3	mrr_scaled_10
extensible metadata platform	metadata	operating system, database, artificial intelligence, computer science, programming language	10.0	10.0	0.0	0.0	1.0
aisoy1	robot control	artificial intelligence, operating system, embedded system, robot, robot control	5.0	5.0	0.0	0.0	1.0
choking game	human factors and ergonomics	human factors and ergonomics, suicide attempt, fantasy, artificial intelligence, victimology	1.0	1.0	1.0	1.0	1.0
reteoo	artificial intelligence	programming language, artificial intelligence, computer science, machine learning, lisp	2.0	2.0	0.0	1.0	1.0
inverse distance weighting	multivariate interpolation	multivariate interpolation, artificial intelligence, kriging, spatial analysis, watershed	1.0	1.0	1.0	1.0	1.0
applicative programming language	data flow diagram, computation	programming language, lisp, interpreter, operating system, fifth generation programming language	558.5	558.5	0.0	0.0	0.036404639175257734
channel	inter process communication, synchronization, asynchronous communication, message broker, channel, message passing	programming language, operating system, real time computing, synchronization, distributed computing	55.0	55.0	0.0	0.0	0.36944444444444446
myzobdella	leech	leech, hydropsychidae, amoeba, turtle, streams	1.0	1.0	1.0	1.0	1.0
optical neural network	artificial neural network	artificial intelligence, content addressable memory, computer science, artificial neural network, logic gate	4.0	4.0	0.0	0.0	1.0
alternate line service	operating system, telecommunications	telecommunications, operating system, gsm services, computer network, artificial intelligence	1.0	1.0	1.0	1.0	1.0
mitral valve prosthesis	prosthesis	prosthesis, diathermy, nasal prosthesis, robotic surgery, composite number	1.0	1.0	1.0	1.0	1.0
wireless repeater	wireless, repeater	telecommunications, wireless, bandwidth, telecommunications link, transmitter	54.5	54.5	0.0	0.5	0.5454545454545454
gigabit interface converter	transceiver	connection oriented ethernet, passive optical network, gigabit ethernet, ethernet, embedded system	8.0	8.0	0.0	0.0	1.0
echocardiogram image	pattern recognition, artificial intelligence, computer vision	segmentation, voxel, image segmentation, medical imaging, iterative reconstruction	8.333333333333334	8.333333333333334	0.0	0.0	0.8333333333333334
universal portfolio algorithm	machine learning	artificial intelligence, machine learning, computer science, data mining, genetic algorithm	2.0	2.0	0.0	1.0	1.0
heart component	waveform	actuator, artificial muscle, piezoelectric sensor, robot, electrical conduit	54.0	54.0	0.0	0.0	0.16666666666666666
invention of radio	telecommunications	telecommunications, artificial intelligence, computer science, operating system, computer network	1.0	1.0	1.0	1.0	1.0
manufacturer identifier	identifier	identifier, operating system, computer hardware, artificial intelligence, primary identifier	1.0	1.0	1.0	1.0	1.0
discounted cumulative gain	learning to rank	artificial intelligence, data mining, ranking, machine learning, information retrieval	130.0	130.0	0.0	0.0	0.07692307692307693
topic maps	information retrieval, data mining, world wide web	artificial intelligence, data mining, database, ontology, knowledge management	5.333333333333333	5.333333333333333	0.0	0.3333333333333333	1.0
i o scheduling	flow shop scheduling, rate monotonic scheduling, two level scheduling	cache pollution, cache invalidation, cache, cache coloring, operating system	60.666666666666664	60.666666666666664	0.0	0.0	0.6862745098039215
photographic filter	color filter array, seachanger color engine	computer vision, artificial intelligence, liquid crystal display, backlight, color balance	92.0	92.0	0.0	0.0	0.12179487179487179
pixel density	pixel	artificial intelligence, computer vision, operating system, pixel, computer hardware	4.0	4.0	0.0	0.0	1.0
singular trace	finite rank operator	hilbert space, operator, fourier integral operator, unitary operator, finite rank operator	5.0	5.0	0.0	0.0	1.0
verifiable computing	homomorphic encryption	computer science, cryptography, computer security, theoretical computer science, encryption	80.0	80.0	0.0	0.0	0.125
suicide pact	human factors and ergonomics	human factors and ergonomics, suicide attempt, suicide risk, suicidal ideation, victimology	1.0	1.0	1.0	1.0	1.0
hresult	programming language	operating system, programming language, software, unix, computer science	2.0	2.0	0.0	1.0	1.0
linear phase	computer vision	prototype filter, butterworth filter, high pass filter, modulation, distortion	24.0	24.0	0.0	0.0	0.3333333333333333
spatial query	web query classification, sargable	database, data mining, artificial intelligence, online analytical processing, cluster analysis	24.5	24.5	0.0	0.0	0.375
dystonic posturing	ictal	electroencephalography, ictal, epileptic encephalopathy, west syndrome, reflex epilepsy	2.0	2.0	0.0	1.0	1.0
initial algebra	semantics	programming language, automated theorem proving, lambda calculus, higher order logic, recursion	40.0	40.0	0.0	0.0	0.25
building surveyor	construction surveying	computer science, documentation, library science, computer security, database	26.0	26.0	0.0	0.0	0.3333333333333333
proximity sensor	operating system	artificial intelligence, robot, mobile robot, computer hardware, embedded system	8.0	8.0	0.0	0.0	1.0
serial module	embedded system, computer hardware	cable gland, operating system, programming language, computer hardware, embedded system	4.0	4.0	0.0	0.0	1.0
online algorithm	artificial intelligence, distributed computing	artificial intelligence, computer science, operating system, real time computing, distributed computing	2.5	2.5	0.5	0.5	1.0
modal algebra	accessibility relation, normal modal logic	operator, artificial intelligence, programming language, fuzzy logic, multimodal logic	9.0	9.0	0.0	0.0	1.0
data aggregator	wireless sensor network	artificial intelligence, computer science, wireless sensor network, distributed computing, mobile wireless sensor network	3.0	3.0	0.0	1.0	1.0
user interface toolkit	shell, natural user interface, graphical user interface testing	user interface, user interface design, human computer interaction, graphical user interface testing, natural user interface	6.333333333333333	6.333333333333333	0.0	0.0	0.8333333333333334
d pad	game design document	operating system, artificial intelligence, embedded system, computer hardware, wearable computer	84.0	84.0	0.0	0.0	0.1111111111111111
electrical length	slot antenna, antenna efficiency, coaxial antenna, antenna factor	antenna, telecommunications, coaxial antenna, dipole antenna, microstrip antenna	4.75	4.75	0.0	0.25	1.0
rasterschlussel 44	computer security	computer science, programming language, algorithm, two square cipher, colossus computer	6.0	6.0	0.0	0.0	1.0
srtm water body data	interferometric synthetic aperture radar	geospatial analysis, photogrammetry, database, raster data, spatial database	200.0	200.0	0.0	0.0	0.05
data profiling	data mining, database	computer science, data mining, artificial intelligence, database, machine learning	2.5	2.5	0.0	1.0	1.0
intervocalic consonant	consonant	vowel, consonant, diphthong, syllable, mid vowel	2.0	2.0	0.0	1.0	1.0
intelligent database	database tuning, database testing	artificial intelligence, computer science, machine learning, data mining, pattern recognition	654.0	654.0	0.0	0.0	0.015310892940626462
api testing	software construction	software, software engineering, operating system, software quality, software development	12.0	12.0	0.0	0.0	0.5
time and attendance	biometrics	operating system, computer security, computer hardware, computer science, embedded system	76.0	76.0	0.0	0.0	0.125
computational mathematics	algorithm	artificial intelligence, computer science, computational science, algorithm, computation	4.0	4.0	0.0	0.0	1.0
net	initial topology	initial topology, extension topology, embedding, comparison of topologies, artificial intelligence	1.0	1.0	1.0	1.0	1.0
ada conformity assessment test suite	programming language	software quality, software development process, software construction, software, test suite	17.0	17.0	0.0	0.0	0.5
ambient calculus	process calculus	artificial intelligence, operating system, computer science, programming language, real time computing	39.0	39.0	0.0	0.0	0.25
shacal	nessie	block cipher, triple des, cipher, cryptography, cryptosystem	55.0	55.0	0.0	0.0	0.16666666666666666
paraliterature	artificial intelligence	hero, transhumanism, psychic, artificial intelligence, fantasy	4.0	4.0	0.0	0.0	1.0
network automaton	algorithm	algorithm, theoretical computer science, computer science, programming language, distributed computing	1.0	1.0	1.0	1.0	1.0
single table inheritance	column	database, programming language, object, artificial intelligence, operating system	969.0	969.0	0.0	0.0	0.010309278350515464
open design	operating system	computer science, artificial intelligence, software engineering, operating system, knowledge management	4.0	4.0	0.0	0.0	1.0
digital watermarking alliance	watermark	digital watermarking, intellectual property, watermark, cryptography, computer security	3.0	3.0	0.0	1.0	1.0
mobile rfid	radio frequency identification	bluetooth, operating system, telecommunications, wi fi array, gsm services	77.0	77.0	0.0	0.0	0.125
hypervideo	hypermedia	multimedia, artificial intelligence, world wide web, human computer interaction, user interface	6.0	6.0	0.0	0.0	1.0
full spectral imaging	pixel, hyperspectral imaging, spectral imaging	optical tomography, hyperspectral imaging, tomographic reconstruction, image resolution, chemical imaging	28.333333333333332	28.333333333333332	0.0	0.3333333333333333	0.48333333333333334
fibonacci heap	binary heap	binary heap, tree rotation, segment tree, merge sort, suurballe s algorithm	1.0	1.0	1.0	1.0	1.0
data field	database, operating system	artificial intelligence, computer science, data mining, database, machine learning	5.0	5.0	0.0	0.0	1.0
naive bayes spam filtering	machine learning	artificial intelligence, machine learning, pattern recognition, support vector machine, classifier	2.0	2.0	0.0	1.0	1.0
causal filter	half band filter, raised cosine filter	butterworth filter, prototype filter, artificial intelligence, linear filter, filter	53.0	53.0	0.0	0.0	0.1875
cellml	markup language	software engineering, computer science, unified modeling language, applications of uml, programming language	17.0	17.0	0.0	0.0	0.5
ibm 1620 model i	programming language, operating system	parallel computing, operating system, x86, fortran, intel 80486	3.5	3.5	0.0	0.5	1.0
adaptive coordinate descent	machine learning	nonlinear conjugate gradient method, evolutionary computation, gradient descent, optimization problem, artificial intelligence	30.0	30.0	0.0	0.0	0.3333333333333333
exotic r4	inverse function theorem	dirac spinor, operator algebra, hilbert manifold, initial topology, hilbert space	406.0	406.0	0.0	0.0	0.024390243902439025
i o virtualization	full virtualization, hypervisor	virtualization, cloud computing, operating system, full virtualization, hypervisor	4.0	4.0	0.0	0.0	1.0
generalized geography	pspace	algorithm, boolean satisfiability problem, time hierarchy theorem, structural complexity theory, recursive set	9.0	9.0	0.0	0.0	1.0
smpte st 2071	programming language, computer network	operating system, computer science, artificial intelligence, programming language, software engineering	8.0	8.0	0.0	0.0	0.75
primary atmosphere	planetary mass	rogue planet, kepler 69c, gas giant, planetary mass, planetary migration	4.0	4.0	0.0	0.0	1.0
histogram matching	pixel, histogram	computer vision, artificial intelligence, color histogram, feature detection, image texture	61.0	61.0	0.0	0.0	0.5416666666666666
alternate frame rendering	software rendering	artificial intelligence, rendering, computer graphics images, computer vision, visualization	6.0	6.0	0.0	0.0	1.0
bump function	banach space	artificial intelligence, operator, convergence, algorithm, banach space	5.0	5.0	0.0	0.0	1.0
similarity	fuzzy clustering, correlation clustering	nearest neighbor chain algorithm, correlation clustering, hierarchical clustering, nearest neighbor search, cluster analysis	8.5	8.5	0.0	0.5	0.75
mast radiator	radio frequency power transmission	telecommunications, antenna, antenna measurement, directional antenna, periscope antenna	1134.0	1134.0	0.0	0.0	0.008771929824561403
s pdif	audio signal flow	audio signal flow, operating system, computer hardware, telecommunications, artificial intelligence	1.0	1.0	1.0	1.0	1.0
nano brain	artificial intelligence	artificial intelligence, computer science, operating system, embedded system, computer hardware	1.0	1.0	1.0	1.0	1.0
microsoft transaction server	distributed transaction, transaction processing system	operating system, distributed transaction, database, transaction processing system, online transaction processing	2.5	2.5	0.0	1.0	1.0
brain painting	brain computer interface	human computer interaction, artificial intelligence, haptic technology, virtual reality, user interface	49.0	49.0	0.0	0.0	0.2
neural engineering	artificial intelligence, machine learning	artificial intelligence, artificial neural network, operating system, machine learning, computer science	2.0	2.0	0.5	1.0	1.0
